window,ratio,views,subs,published,age_days,duration,channel,title,url,channel_url
recent,269.6,727875,2700,2026-09-05,18,40:30,지구다큐관,태평양의 물을 모두 걷어내면 무엇이 보일까 | 바다 아래 거대한 세계,https://www.youtube.com/watch?v=7ZkdE_43kuQ,https://www.youtube.com/channel/UC8FueJ6ZZgb2fgyR7oKDrwg
recent,57.3,178296,3110,2026-08-31,22,10:11,Nautical Nuggets,"Life Below 3,000 Meters: What NOAA Found Under Alaska",https://www.youtube.com/watch?v=lc40qO_UzYE,https://www.youtube.com/channel/UClIlEL_zwMxBtG07zlCLNjQ
recent,51.4,80171,1560,2026-09-11,12,23:07,오지랖과학,"바다 가장 깊은 곳에는 무엇이 있을까? 마리아나 해구 심해 10,935m 탐험",https://www.youtube.com/watch?v=zcBYT_CosoA,https://www.youtube.com/channel/UCP_oOjjeARut9R2PVwzRLTA
older,263.2,413284,1570,2019-03-25,2739,3:06,공룡갤러리 dinosaur gallery,herbivorous dinosaur size comparison,https://www.youtube.com/watch?v=F38qed59UWg,https://www.youtube.com/channel/UCVKvxjaxcKgFm7BEUw__2gg
older,241.6,4662782,19300,2023-04-24,1248,20:21,AlecRaptor1,Evolution of T-Rex in Movies and T.V Size Comparison(Edited),https://www.youtube.com/watch?v=O5XwDGotwdg,https://www.youtube.com/channel/UCOJaz1SOQDuQpmumZrptgFQ
older,225.6,35645142,158000,2022-11-25,1398,11:08,슈퍼다이노TV,[슈퍼다이노] 🦖20화 본편｜엄마를 잃어버린 아기 티라노,https://www.youtube.com/watch?v=Pe9idWOXyXo,https://www.youtube.com/channel/UCGSevEnKk0mjU_NG_IxnmjQ
older,157.1,33627402,214000,2023-06-29,1182,26:31,DINO DUELS,RELEASE ALL 86 MAX EGG TERRESTRIAL DINOSAURS  - Jurassic World Evolution 2,https://www.youtube.com/watch?v=v2BFelvJDcs,https://www.youtube.com/channel/UCBY5EPegGAtdkLEVRgxz5JA
older,136.1,2014205,14800,2023-10-23,1066,18:57,심타임: Sim time ,심해 7620미터를 산책할 때 극도로 주의해야 할 생명체ㄷㄷㄷ [액션/스릴러],https://www.youtube.com/watch?v=vYdD6ZShWWI,https://www.youtube.com/channel/UCpi7uMq1vj6Ct8Ua_LqF3yQ
older,119.6,374260983,3130000,2016-09-06,3669,8:37,Jurassic World,Final Battle Scene | Jurassic World,https://www.youtube.com/watch?v=FtCslvCjZEY,https://www.youtube.com/channel/UCuTNKMG8HCxb2kYbLXjXTTg
older,107.2,34309789,320000,2023-03-08,1295,30:52,Toni Dinosaurs,"BRACHIOSAURUS vs T-REX, TRICERATOPS DINOSAURS, Excavator,Tractor, Truck: Who Is The King Of Monster?",https://www.youtube.com/watch?v=UROqji6aq8U,https://www.youtube.com/channel/UCz46xIYmIUVKpv2AA93dtgQ
