slug,part,figure,unit,kicker
part1-convenience-stores,Part 1,1 : 950,per store,"One convenience store for every 950 people.|The U.S. ratio is **1 : 2,257**."
part2-food-delivery,Part 2,"₩2,500",a delivery,Fried chicken to a blanket in a park.|No tip. **Thirty minutes.**
part3-subway,Part 3,$1.10,a ride,Seoul charges for **distance**.|New York charges for the turnstile.
part4-healthcare,Part 4,$4–8,a clinic visit,The same visit in the U.S. averages|about **$160** without insurance.
part5-tipping,Part 5,$2.13,/hr before tips,"That's a U.S. server's legal wage.|Korea just calls it **minimum wage**."
part6-night-safety,Part 6,0.5,murders per 100k,"One-twelfth the US rate.|Korean women **still** don't walk home relaxed."
part7-internet,Part 7,"₩38,500","a month, 1 Gbps","About **$28** at list price.|The average US internet bill is **$68**."
part8-24hour,Part 8,−34%,"PC bangs, 2019–2023",The 24-hour country is quietly|starting to **close early**.
gimbap-price-2026,,$2.80,a gimbap roll,Seoul's cheapest lunch is its **fastest-rising** price.|Still about a third of a US combo.
ramen-freeze-2026,,0%,on packet ramen,Cup noodles went up in September. The **packet** didn't.|All four makers left Korea's cheapest meal alone.
konbini-lunch-2026,,"₩10,000",at a convenience store,"A hot lunchbox, a cup ramen, and change back.|The **same chain** charges $6 for a sandwich in the US."
part9-cafe-density,Part 9,1 : 490,per cafe,"One cafe for every 490 people.|And America has **more Starbucks per head**."
part10-one-tap,Part 10,$0,card minimum,"Korean shops cannot legally refuse your card.|In America the law allows a **$10 minimum**."
part11-parcels,Part 11,116,parcels per person,Korea moved **5.9 billion** parcels last year.|Most were left on the floor by your door.
part12-restrooms,Part 12,"78,183",public restrooms,"Korea keeps a legal register of them.|America has about **8 per 100,000**."
part13-digital-gov,Part 13,"1,208",documents online,"Korea issues them from your phone, free.|America queued at the **DMV**."
part14-laptop-trust,Part 14,1 : 29,people per camera,The laptop is safe on the table.|**1.77 million** public cameras are why.
part15-trash,Part 15,97%,food waste recycled,"Korea recovers almost all of it.|You buy the **bag**, and you sort dinner."
part16-apartments,Part 16,54.5%,of households,More than half of Korea lives in|an **apartment complex**. That is the answer.
part17-school-walk,Part 17,"16,000",school zones,Korean first-graders walk to school alone.|Illinois says **14** to stay home alone.
part18-dawn-delivery,Part 18,52.8%,of districts,Groceries land before 6 a.m.|But **half the map** cannot get them.
part19-one-day-moving,Part 19,1 DAY,pack move & unpack,Movers empty every drawer and drive it.|**Unpacked before dinner.**
part20-free-bank-transfers,Part 20,$0,to any bank any amount,Korea killed transfer fees in 2024.|Americans still pay **$25** to wire.
part21-dental-clinics,Part 21,"19,383",dental clinics,Same doctors per person as the U.S.|Most practice on **floor 2 to 4**.
part22-cvs-bank-services,Part 22,"13,261",ATMs at GS25 alone,The bank branch closed last spring.|The **corner store** never did.
part23-subway-stations,Part 23,312,restrooms on lines 1-8,"Seoul's station is a **building**.|All of NYC subway has **125**."
part24-jeonse,Part 24,$0,monthly rent,"Korean renters pay **no rent**.|They lend the landlord **$404,000**."
part25-same-day-doctor,Part 25,15.7,doctor visits a year,"Walk in. No appointment, no referral.|Only **43%** of Americans get a same-day slot."
part26-complex-daycare,Part 26,$0,for daycare ages 0-5,"U.S. infant care: **$14,760** a year.|Korea builds it into the complex."
part27-health-checkup,Part 27,75.6%,took the free national checkup,"Korea **mails** you a checkup.|**36%** of Americans skip care over cost."
part28-cheap-phone-plans,Part 28,$11,a month for a phone line,"Verizon's entry plan: **$75**.|Korea's budget carriers: **10.5M** users."
part29-unmanned-stores,Part 29,"10,847",thefts at unstaffed shops,"Korea's stores run with **no staff**.|Amazon Go just closed **every location**."
part30-underground-arcades,Part 30,"2,788",shops under the street,"Seoul has a **second city** below.|Most of it was built as a **bomb shelter**."
